Name,Fantasy_Line,Turnovers_Line,Assists_Line,FT_Line,PointsAssists_Line,Points_Line,Steals_Line,BlocksSteals_Line,ReboundsAssists_Line,Threes_Line,PointsReboundsAssists_Line,Blocks_Line,PointsRebounds_Line,Rebounds_Line
Dillon Brooks,,,,,,,,1.5s,,2.0,19.5,0.5s,,
Jalen Green,,2.5,4.0,,26.5,,,1.5s,8.5,,31.5,0.5s,27.5,4.5
Amen Thompson,,,5.0,,17.5,12.5,,2.0,12.5,0.5s,24.5,0.5,19.5,7.0
Josh Hart,,1.5,4.5,,,9.5,,,13.5,,23.5,,18.5,8.5
Jabari Smith Jr.,,,,,16.5,14.5,,1.5,9.5,2.0,24.5,0.5,,8.0
Donte DiVincenzo,,1.5,3.5,,23.5,,,2.0,8.0,,27.5,,23.5,
Isaiah Hartenstein,,,,,,8.5,,2.5,,,19.5,1.5s,,8.5
Precious Achiuwa,,,,,,,1.5s,2.5,,,23.0,,,9.5
Brandon Ingram,40.75,,6.5,,30.5,23.5,,,12.5,1.5s,36.0,0.5,29.5,6.0
Zion Williamson,37.05,,4.5,,26.5,,,,10.5,,31.5,0.5,27.5,5.5
CJ McCollum,,,4.0,,22.5,,1.5s,,8.5,,27.5,0.5,23.5,4.5
Jaren Jackson Jr.,41.95,,,,29.5,,,,8.5,2.0,35.0,1.5s,31.5,5.5
Herbert Jones,,,,,,,,1.5,6.0,,17.0,0.5s,,3.5
Jonas Valanciunas,,1.5,,,15.5,13.5,0.5,1.5,12.5,0.5s,25.5,,,10.0
John Konchar,,,,,,,,2.5s,9.0,,17.0,,,6.0
Santi Aldama,,1.5,,,16.5,,,1.5,9.0,,22.5,0.5,,6.5
Vince Williams Jr.,,,4.0,,19.5,,,,,2.0,26.5,,21.5,6.5
Luka Doncic,59.95,,9.5,6.5,42.5,32.5,,2.0,19.0,4.5s,52.5,,41.5,9.0
Kyrie Irving,44.75,,6.0,3.5,31.5,,,,11.5,2.5,36.5,0.5s,30.5,5.0
Kyle Kuzma,,,4.0,,25.5,,,1.5s,10.5,,31.5,0.5,27.5,6.5
Jordan Poole,,1.5,4.0,,,,,,6.5,1.5,20.5,0.5s,16.5,
Tyus Jones,,,7.5,,21.5,13.5,,,10.5,1.5,24.5,0.5s,16.5,
Tim Hardaway Jr.,,,,,15.5,,0.5,,,2.5,18.5,,,3.0
Deni Avdija,,,,,17.5,13.5,,1.5s,11.5,,25.5,0.5s,21.5,7.5
Daniel Gafford,,,,,,10.5,0.5,2.0,7.5,,18.0,1.5s,,7.0
PJ Washington,,1.5s,,,,,,,6.5,1.5,18.5,0.5,,5.0
Josh Green,,,,,,,0.5,,6.5,,15.5,,,
Maxi Kleber,,,,,,,0.5,1.5,7.0,,14.0,,,4.5
