date,season,game,age,team,opp,game-result,min-played,game-location,fg,fga,fg-pct,fg3,fg3a,fg3-pct,ft,fta,ft-pct,orb,drb,trb,ast,stl,blk,tov,pf,points,game-score,plus-minus,game-link,0
2024-01-07,2024.0,34.0,25.11,1.0,22.0,-7.0,42.05,0.0,11.0,23.0,0.478,2.0,9.0,0.222,7.0,10.0,0.7,0.0,4.0,4.0,9.0,1.0,1.0,5.0,2.0,31.0,21.5,-10.0,https://www.basketball-reference.com/boxscores/202401070ORL.html,
2024-01-10,2024.0,35.0,25.113,1.0,23.0,7.0,43.417,1.0,7.0,22.0,0.318,2.0,8.0,0.25,12.0,14.0,0.857,0.0,1.0,1.0,11.0,1.0,1.0,5.0,2.0,28.0,18.5,7.0,https://www.basketball-reference.com/boxscores/202401100ATL.html,
2024-01-12,2024.0,36.0,25.115,1.0,12.0,-18.0,30.05,1.0,4.0,17.0,0.235,2.0,6.0,0.333,3.0,3.0,1.0,3.0,0.0,3.0,6.0,2.0,0.0,5.0,1.0,13.0,5.6,-19.0,https://www.basketball-reference.com/boxscores/202401120ATL.html,
2024-01-13,2024.0,37.0,25.116,1.0,30.0,-28.0,36.15,1.0,6.0,19.0,0.316,2.0,10.0,0.2,7.0,9.0,0.778,1.0,1.0,2.0,10.0,1.0,1.0,1.0,5.0,21.0,16.0,-23.0,https://www.basketball-reference.com/boxscores/202401130ATL.html,
2024-01-15,2024.0,38.0,25.118,1.0,27.0,10.0,37.6,1.0,11.0,24.0,0.458,6.0,11.0,0.545,8.0,9.0,0.889,0.0,6.0,6.0,13.0,1.0,1.0,3.0,0.0,36.0,32.8,16.0,https://www.basketball-reference.com/boxscores/202401150ATL.html,
2024-01-17,2024.0,39.0,25.12,1.0,22.0,2.0,38.7,1.0,5.0,14.0,0.357,1.0,6.0,0.167,7.0,7.0,1.0,1.0,2.0,3.0,12.0,1.0,0.0,8.0,3.0,18.0,11.7,2.0,https://www.basketball-reference.com/boxscores/202401170ATL.html,
2024-01-19,2024.0,40.0,25.122,1.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.basketball-reference.com/boxscores/202401190MIA.html,
2024-01-20,2024.0,41.0,25.123,1.0,6.0,-21.0,28.3,1.0,6.0,12.0,0.5,3.0,4.0,0.75,0.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,0.0,4.0,2.0,15.0,8.0,-20.0,https://www.basketball-reference.com/boxscores/202401200ATL.html,
2024-01-22,2024.0,42.0,25.125,1.0,26.0,-15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.basketball-reference.com/boxscores/202401220SAC.html,
2024-01-24,2024.0,43.0,25.127,1.0,10.0,-22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.basketball-reference.com/boxscores/202401240GSW.html,
2024-01-26,2024.0,44.0,25.129,1.0,7.0,-5.0,33.183,1.0,9.0,18.0,0.5,2.0,7.0,0.286,10.0,11.0,0.909,0.0,1.0,1.0,11.0,3.0,0.0,2.0,3.0,30.0,28.4,9.0,https://www.basketball-reference.com/boxscores/202401260ATL.html,
2024-01-28,2024.0,45.0,25.131,1.0,28.0,1.0,41.733,1.0,9.0,24.0,0.375,1.0,4.0,0.25,11.0,12.0,0.917,0.0,2.0,2.0,12.0,2.0,0.0,5.0,3.0,30.0,21.2,8.0,https://www.basketball-reference.com/boxscores/202401280ATL.html,
2024-01-30,2024.0,46.0,25.133,1.0,14.0,16.0,34.267,1.0,9.0,20.0,0.45,6.0,9.0,0.667,2.0,2.0,1.0,1.0,1.0,2.0,13.0,1.0,0.0,5.0,0.0,26.0,21.7,5.0,https://www.basketball-reference.com/boxscores/202401300ATL.html,
2024-02-02,2024.0,47.0,25.136,1.0,24.0,9.0,42.183,1.0,12.0,17.0,0.706,7.0,11.0,0.636,1.0,2.0,0.5,0.0,1.0,1.0,15.0,3.0,1.0,7.0,2.0,32.0,31.2,-1.0,https://www.basketball-reference.com/boxscores/202402020ATL.html,
2024-02-02,2024,56.0,25.136,1.0,24.0,9.0,42.183,1.0,12.0,17.0,0.706,7.0,11.0,0.636,1.0,2.0,0.5,0.0,1.0,1.0,15.0,3.0,1.0,7.0,2.0,32.0,31.2,-1.0,https://www.basketball-reference.com/boxscores/202402020ATL.html,
2024-02-03,2024,56.0,25.137,1.0,10.0,7.0,42.267,1.0,12.0,21.0,0.571,7.0,11.0,0.636,4.0,5.0,0.8,0.0,0.0,0.0,6.0,1.0,0.0,3.0,3.0,35.0,25.7,5.0,https://www.basketball-reference.com/boxscores/202402030ATL.html,
2024-02-05,2024,56.0,25.139,1.0,13.0,-5.0,35.717,1.0,8.0,14.0,0.571,3.0,7.0,0.429,6.0,6.0,1.0,0.0,2.0,2.0,12.0,2.0,0.0,5.0,5.0,25.0,22.4,-6.0,https://www.basketball-reference.com/boxscores/202402050ATL.html,
2024-02-07,2024,56.0,25.141,1.0,2.0,-8.0,37.867,0.0,8.0,25.0,0.32,2.0,10.0,0.2,2.0,2.0,1.0,0.0,2.0,2.0,10.0,1.0,0.0,4.0,0.0,20.0,10.3,-10.0,https://www.basketball-reference.com/boxscores/202402070BOS.html,
2024-02-09,2024,56.0,25.143,1.0,23.0,6.0,39.783,0.0,10.0,21.0,0.476,5.0,12.0,0.417,12.0,16.0,0.75,0.0,1.0,1.0,12.0,1.0,0.0,7.0,1.0,37.0,27.0,5.0,https://www.basketball-reference.com/boxscores/202402090PHI.html,
2024-02-10,2024,56.0,25.144,1.0,11.0,9.0,32.9,1.0,6.0,16.0,0.375,2.0,9.0,0.222,4.0,6.0,0.667,0.0,4.0,4.0,8.0,2.0,1.0,4.0,3.0,18.0,12.7,-1.0,https://www.basketball-reference.com/boxscores/202402100ATL.html,
2024-02-12,2024,56.0,25.146,1.0,5.0,-10.0,35.7,1.0,3.0,14.0,0.214,2.0,10.0,0.2,11.0,12.0,0.917,0.0,3.0,3.0,14.0,0.0,0.0,2.0,1.0,19.0,18.3,-14.0,https://www.basketball-reference.com/boxscores/202402120ATL.html,
